2.272	0.010	0.166	2.251	0.000	0.321	1.735	0.263	
1.817	0.000	0.338	2.157	0.000	0.325	1.698	0.224	
2.145	0.000	0.100	1.699	0.000	0.393	2.195	0.095	
1.682	0.010	0.500	1.798	0.010	0.500	1.768	0.156	
1.442	0.000	0.100	1.481	0.010	0.140	1.989	0.374	
0.918	0.000	0.500	1.555	0.010	0.100	1.003	0.161	
0.957	0.010	0.100	1.515	0.000	0.204	1.865	0.083	
1.377	0.010	0.500	1.861	0.000	0.500	1.635	0.040	
1.292	0.000	0.431	1.793	0.010	0.100	1.772	0.400	
0.974	0.000	0.230	1.629	0.000	0.336	0.996	0.040	
1.147	0.010	0.100	1.391	0.000	0.100	2.191	0.316	
1.492	0.000	0.400	1.092	0.010	0.500	1.790	0.040	
1.493	0.000	0.500	1.789	0.000	0.328	1.324	0.135	
1.795	0.000	0.100	1.855	0.010	0.500	1.308	0.400	
1.698	0.000	0.500	1.983	0.010	0.500	1.481	0.400	
1.200	0.000	0.366	1.867	0.000	0.197	2.102	0.094	
1.821	0.010	0.100	1.787	0.010	0.216	1.431	0.040	
1.371	0.010	0.353	0.774	0.000	0.452	1.962	0.400	
1.300	0.000	0.100	1.327	0.000	0.500	1.957	0.400	
1.378	0.000	0.342	1.936	0.000	0.100	2.050	0.251	
1.421	0.000	0.500	1.753	0.010	0.154	1.666	0.340	
1.732	0.010	0.124	1.462	0.010	0.322	1.820	0.128	
1.854	0.010	0.100	1.385	0.010	0.303	1.760	0.400	
1.800	0.000	0.100	1.804	0.010	0.326	1.682	0.400	
1.384	0.000	0.426	1.537	0.000	0.381	0.922	0.040	
2.682	0.000	0.100	1.845	0.000	0.151	2.114	0.065	
2.085	0.000	0.100	1.592	0.000	0.100	1.588	0.318	
1.818	0.000	0.100	1.761	0.000	0.500	1.824	0.083	
2.088	0.000	0.100	2.152	0.000	0.500	1.689	0.285	
1.404	0.010	0.214	1.816	0.010	0.100	1.854	0.060	
1.849	0.000	0.500	1.838	0.000	0.233	1.185	0.050	
